organization_name,founded_year,hq_city,employee_count,ceo_name,stock_symbol
Centimia,1864,L'viv,9499,Sterne Anderl,BRX
Meevee,1954,Jingling,91185,Anny Bore,RA
Thoughtworks,1807,Biscucuy,77563,Charin Grute,LPCN
Kwilith,1890,Miraflores,94268,Maude Dumberrill,DSX^B
Blogtags,1938,Ladhewāla Warāich,4403,Barby Bento,CFNB
Mycat,1946,‘Awartā,7661,Rob Brighty,JMM
Yambee,1851,Austin,69799,Sapphira Caizley,STT
Wikivu,1871,Al Mushannaf,83716,Abdul Trippick,NYCB
Tagpad,1938,Nevers,75550,Addie Bolam,WST
Brainlounge,1935,Juatuba,9383,Lesley Mosconi,DKT
JumpXS,1991,Laojun,99243,Lindsey Whetnell,PSCI
Zazio,1973,Cigintung,60127,Patty Presslee,PAVMW
Ntags,1956,General Vedia,66730,Kimberley Drummer,SPXC
Zoomcast,1919,Nanzhao,80597,Clovis Cranney,EIGR
Yozio,1950,Santa Catalina,36089,Harli Anglin,RTRX
Browsetype,1915,Barbosa,51387,Lacie Laraway,WMS
Wikido,1838,Yuyue,19179,Travus Adamov,HESM
Ntags,1821,Formosa,83178,Bellanca Duggon,SFNC
Yodo,1978,Dongjiao,11511,Ransell Yaakov,UN
Brightdog,1901,Kalenderovci Donji,52546,Rolando Jandel,PODD
Ailane,1839,Kendayakan,85958,Natty Briance,EEA
Jayo,1924,Raczki,18972,Gery Mowsley,WHFBL
Tazz,1896,Zhuhong,56263,Cleve Lazenby,WCC
Skiba,1901,Dumbéa,50983,Dre Canet,ABMD
Browseblab,1800,Astara,43768,Harlie Pyer,ELLI
Edgeclub,1926,Tekikbanyuurip,18745,Lindi Greenshields,CNCO
Meedoo,1917,Hujiagou,34615,Cullin Peiser,ALL^E
Innojam,1934,Zhaoyuan,17185,Delia Peacop,PF
Buzzbean,1964,Końskowola,26325,Bendix Giacomuzzi,PHD
Livetube,1833,Santa Fe,43744,Rianon Bertouloume,BFK
Quatz,1894,Dongjin,62135,Hinze O'Dowgaine,NP
Fanoodle,1960,Al Mayādīn,33072,Noam Botfield,RCI
Youbridge,1935,Aurora,78219,Idaline Angel,SELB
Blogpad,1964,Isnā,71562,Sean Caldecot,MXIM
Skipstorm,1871,Ţalkhā,13423,Petronille Martello,HBANN
Browsecat,1818,Ban Phue,97513,Francene Flemmich,ICCH
Topicware,1996,Bobota,75605,Moise Albarez,VYMI
Youspan,1970,Mozhong,31599,Florencia Turone,DAVE
Gigashots,1885,Brzyska,20741,Eileen Gouldsmith,DBD
Voolia,1977,Kachia,67563,Noe Bownass,SOXX
Gigaclub,1925,Jiwei,5106,Shawnee Jasik,PIRS
Tagtune,1925,Krasnyy Luch,99119,Marshall Cage,NGHCO
Zoozzy,1941,Waepana,35278,Laural Dahmel,ZN
Mybuzz,1986,Antiguo Cuscatlán,1723,Emmit Langmaid,BX
Trudoo,1800,Bogra,1486,Eleanor Windram,DX^A
Skynoodle,1848,Nabeul,81619,Torin Liversage,GHDX
Dabshots,1876,Shah Alam,77212,Nealon Satterlee,HVT.A
Kazio,1951,Noebana,84781,Duncan Jurgenson,C^K
Feedspan,1992,Gbawe,9732,Carolan Noonan,BBP
Nlounge,1801,Wonopringgo,95167,Jeannine Petera,KTH
Browsedrive,1978,Salam,62668,Wallis Adamov,HBI
Livepath,1885,Detchino,87948,Baxie Davio,ESRX
Wordify,1840,Lile,76338,Jorge Trude,MLVF
Gigaclub,1835,Lāchi,39923,Innis Fownes,BFAM
Feedmix,1853,Mollās̄ānī,26931,Coleen Peasby,WFC^O
Kimia,1959,Ghouazi,86086,Pollyanna Friatt,ESGE
Realcube,1999,Nkongsamba,92758,Haskell Harrington,CLS
Yodoo,1940,Weishan,61748,Jenni Roxbrough,HMTV
Gabspot,1828,København,90479,Shermie Laxtonne,URGN
Ooba,1873,Songshan,99938,Sibeal Handrik,KAI
Bluezoom,1945,Koungou,31089,Marcello Gosenell,LOCO
Voolith,1925,Kezileboyi,89229,Olympia Millett,MATW
Devpulse,1934,Milwaukee,91014,Milzie Boler,ALLY^A
Realbuzz,1995,Kiangan,74954,Selia Nizard,CEO
Vinte,1919,Tūkrah,90581,Kile Gibson,BIDU
Myworks,2022,San Miguel,96676,Rhianon Lochran,SPLP^A
Linktype,1909,Iúna,37554,Felicdad Dutnall,FISI
Devshare,1955,Soanierana Ivongo,80064,Dyann Learmonth,PFBI
Kimia,1900,Béziers,41584,Pavia Bertouloume,TACO
Devify,1924,Khān Yūnis,66511,Rand Nind,DGICA
Fatz,1837,Ramos,15476,Francisco Stoite,SD
Browsecat,1903,Coronda,43872,Ernesta Foston,RUTH
Thoughtbeat,1877,Simapu,67839,Salomon Byrde,NTG
Twitterbeat,1966,Groningen,50565,Charlie Vasiljevic,VTIP
Skalith,1873,Pallasca,87969,Jemmy Kemet,RELL
Wikizz,1859,Teculután,56224,Briny Geraldini,EFT
Oba,1998,Bungur,97327,Pierce Yankov,BMRN
Podcat,1898,Melekyne,17448,Ernestus Siebert,IEP
Skivee,1983,Jiangkou,27690,Lacie Nias,SEV
Rhynyx,1995,San Jose,97575,Stacee Challiss,DD^A
Kimia,1893,Mangseng,41408,Emogene Muckian,MA
Aibox,1882,Sovetskiy,84658,Gilly Morrowe,EFR
Zazio,1811,Náousa,93595,Baxter Waltho,PRPH
Photobean,1887,Chybie,66617,Chrisse Ebben,MICTW
Npath,1899,Turinsk,1880,Star Needs,CETXW
Realmix,1807,Nuevo Arraiján,24572,Nomi Stelljes,CHUBK
Skipstorm,2001,Agua Buena,62831,Cher Kerin,NTEST
Tanoodle,1823,Vale de Madeiros,31370,Sheba Coplestone,KANG
Yodel,2021,Gombe,43052,Fee Trainer,EFAS
Wordtune,1860,Douba,89582,Gaby Coxhell,STO
Rhyloo,1965,Tamot,75960,Binny Degoix,EPR^E
Oozz,1891,Patique,88198,Gilli de Aguirre,HEQ
Riffwire,1824,London,1196,Daune Plumtree,CRAY
Twitterlist,2001,Cúcuta,24105,Cyb Loan,ASC
Realpoint,1896,Heshi,95310,Nollie Hallen,LMFA
Youfeed,1920,Canindé,53915,Jeana Lassen,WIX
Skinix,1966,Kandy,6398,Elisha Kennerknecht,NMM
Innojam,1915,Ukata,60267,Agace Pionter,AMOV
Topiclounge,2001,Azeitão,31888,Alta Ipsly,AFSI^D
Skyba,2022,Gedongmulyo,50830,Winne Toffolo,IPKW
Brainverse,1915,Letpandan,19864,Vida Glasson,WHLRW
Zoomcast,1803,Patemon,24784,Eolanda Casassa,HGT
Twinte,1899,Korsakovo,80905,Annabelle Boag,ELU
Janyx,1868,Newport News,60522,Junina Burberry,BTU
Skiptube,1819,Petropavlivka,75966,Jeth Gouny,PEIX
Jetwire,1943,Prey Veng,53807,Arte Whitcomb,PCRX
Quire,2011,Prior Velho,7400,Abran Budgett,BFS
Eadel,1992,Liushi,81496,Mandie Eady,VYGR
Snaptags,1989,Tetovo,83414,Nanci Laboune,UNP
Realpoint,1834,Zhigulevsk,55226,West Lafuente,PDLI
Vimbo,1930,Kąty Wrocławskie,72779,Nelle Erington,BAC^A
Miboo,2017,Puerto Cisnes,8324,Tremayne Huckleby,ELY
Mita,1948,Aş Şanamayn,72490,Celesta Greenig,CELGZ
Yombu,1997,Pallanchacra,72469,Arielle Braine,KKR^B
Tagopia,1967,Huanshan,41691,Heida Hauch,PICO
Zooveo,1830,Reguenga,59075,Rhiamon Belli,EOI
Oloo,1889,Gierłoż,63084,Laurens Jojic,CVGI
Mudo,1967,Famões,62770,Beulah Halworth,OFC^L.CL
Thoughtbeat,1837,Fontanka,90115,Bidget Dunk,MTB^
Kanoodle,1828,Katwijk,47967,Ealasaid Wrettum,C.WS.A
Brainverse,1865,Villa Nueva,56104,Sherwynd Lockhart,CATM
Muxo,1827,Wuyun,69136,Ysabel Lamlin,JE^A
Shufflebeat,2015,Tangwāni,30273,Nessi Arondel,MCR
Zoovu,2012,Kamenica,36745,Dina Pallin,SU
Gigabox,1965,Cortes,54454,Celestyna Aucott,TPIC
Zoozzy,1821,Guanlu,23199,Meagan Callander,LTRPB
Cogidoo,1946,Xiaozhen,91215,Nikos Emmer,BSPM
Meemm,1830,Xinminxiang,68567,Jedd Applewhaite,ASA
Skalith,1976,Gubat,82427,Tarrah Buller,TEN
Aibox,1839,El Pao,45573,Remy Rubinsohn,JFC
Oba,1816,El Arañado,20258,Estevan Beed,NGVC
Latz,1853,Maraã,91827,Camala Ruprecht,MMS
Jabbertype,1807,Pereira,8794,Jeanelle Prime,JTA
Mymm,1942,Szelków,59002,Allayne Pollicott,APPN
Skyble,1944,Béthune,42712,Stanley Simenet,CRESY
Camimbo,1809,Baqiao,18792,Corabelle Wellsman,MRTN
Zoonder,1929,Gryaznovskoye,31516,Bancroft Bellham,TAPR
Gigabox,1876,Katrineholm,45979,Kassi May,CACG
Talane,1851,La Roche-sur-Yon,66174,Archaimbaud Earp,FDC
Flipstorm,2015,Tamra,94271,Diena Labbett,FBK
